transaction_id,customer_id,product_id,quantity,timestamp
1,3731,285,3,2026-02-01T13:49:10.078925
2,2928,74,3,2026-02-09T05:43:10.078925
3,2474,134,10,2026-02-10T07:44:10.078925
4,2540,126,6,2026-02-03T15:25:10.078925
5,2133,259,6,2026-02-04T03:18:10.078925
6,1326,147,3,2026-02-04T09:34:10.078925
7,2579,185,3,2026-02-04T11:11:10.078925
8,3092,167,2,2026-02-05T20:15:10.078925
9,4469,261,4,2026-02-04T00:41:10.078925
10,2491,200,2,2026-02-04T21:16:10.078925
11,3925,114,2,2026-02-06T16:07:10.078925
12,1654,215,5,2026-02-05T14:01:10.078925
13,1536,274,2,2026-02-03T02:27:10.078925
14,2453,77,4,2026-02-10T03:08:10.078925
15,1999,174,1,2026-02-07T22:54:10.078925
16,4056,159,7,2026-02-10T05:15:10.078925
17,1258,191,2,2026-02-05T03:09:10.078925
18,4606,251,1,2026-02-06T05:58:10.078925
19,1727,174,1,2026-02-02T03:31:10.078925
20,3095,79,4,2026-02-03T01:57:10.078925
21,4447,68,5,2026-02-02T19:57:10.078925
22,2004,189,5,2026-02-05T23:52:10.078925
23,1397,232,4,2026-02-09T01:47:10.078925
24,4335,78,10,2026-02-07T02:54:10.078925
25,4242,4,4,2026-02-01T16:07:10.078925
26,4305,34,9,2026-02-03T19:42:10.078925
27,3789,258,5,2026-02-06T15:16:10.078925
28,2339,217,10,2026-02-03T20:50:10.078925
29,1778,135,8,2026-02-08T22:27:10.078925
30,3074,30,1,2026-02-07T19:11:10.078925
31,1292,226,2,2026-02-04T04:22:10.078925
32,4780,293,5,2026-01-31T23:07:10.078925
33,4176,116,8,2026-02-05T16:59:10.078925
34,2563,97,4,2026-02-09T13:08:10.078925
35,1754,211,6,2026-02-03T13:35:10.078925
36,4645,178,9,2026-02-03T16:24:10.078925
37,4429,157,9,2026-02-07T05:56:10.078925
38,4083,276,1,2026-01-31T22:28:10.078925
39,3149,99,7,2026-02-04T22:19:10.078925
40,1133,176,10,2026-02-05T12:19:10.078925
41,4737,154,2,2026-02-06T20:26:10.078925
42,1234,224,7,2026-02-01T04:46:10.078925
43,1823,66,2,2026-02-03T15:24:10.078925
44,4265,108,3,2026-02-01T02:53:10.078925
45,2830,219,10,2026-02-10T09:41:10.078925
46,4079,42,3,2026-02-07T05:42:10.078925
47,2575,53,8,2026-02-03T11:00:10.078925
48,3785,213,8,2026-02-03T02:26:10.078925
49,4735,71,8,2026-02-07T03:34:10.078925
50,1285,196,5,2026-02-04T23:23:10.078925
51,2602,50,4,2026-02-10T09:52:10.078925
52,3415,129,3,2026-02-09T14:01:10.078925
53,1777,184,4,2026-02-09T21:15:10.078925
54,3044,182,5,2026-02-10T03:57:10.078925
55,3381,112,7,2026-02-04T00:13:10.078925
56,2314,152,9,2026-02-05T14:59:10.078925
57,4819,238,1,2026-02-04T00:23:10.078925
58,4134,97,10,2026-02-05T22:58:10.078925
59,1181,36,5,2026-02-10T06:35:10.078925
60,4426,295,6,2026-02-09T13:52:10.078925
61,2308,122,9,2026-02-08T10:48:10.078925
62,4420,297,10,2026-02-04T11:32:10.078925
63,1073,143,7,2026-02-06T19:59:10.078925
64,4561,188,5,2026-02-07T06:14:10.078925
65,2996,213,10,2026-02-01T19:06:10.078925
66,3735,54,4,2026-02-08T19:35:10.078925
67,1966,138,9,2026-02-07T09:39:10.078925
68,2509,254,1,2026-02-09T09:22:10.078925
69,3274,63,2,2026-02-04T18:40:10.078925
70,4059,149,3,2026-02-03T11:28:10.078925
71,1943,282,3,2026-02-06T00:09:10.078925
72,1952,257,2,2026-02-02T10:25:10.078925
73,1706,256,5,2026-02-05T16:59:10.078925
74,2012,174,2,2026-01-31T14:49:10.078925
75,2749,266,4,2026-02-05T06:19:10.078925
76,3006,275,4,2026-02-02T19:57:10.078925
77,3742,2,6,2026-02-08T08:36:10.078925
78,2307,299,9,2026-02-07T23:04:10.078925
79,4720,8,6,2026-02-08T02:45:10.078925
80,1729,60,3,2026-02-08T18:49:10.078925
81,4993,194,4,2026-02-07T12:51:10.078925
82,4680,51,5,2026-02-07T20:48:10.078925
83,1710,48,7,2026-02-03T11:29:10.078925
84,3812,51,6,2026-02-03T22:16:10.078925
85,1318,248,2,2026-02-06T16:12:10.078925
86,3592,61,4,2026-02-07T04:12:10.078925
87,1650,43,1,2026-02-04T05:58:10.078925
88,2137,101,3,2026-02-06T02:37:10.078925
89,1920,290,4,2026-02-04T19:39:10.078925
90,2573,273,6,2026-02-08T15:11:10.078925
91,1175,186,8,2026-02-07T00:07:10.078925
92,1142,88,7,2026-02-09T05:55:10.078925
93,1164,282,2,2026-02-08T04:47:10.078925
94,2707,26,2,2026-02-03T11:44:10.078925
95,2293,97,6,2026-02-06T22:17:10.078925
96,4290,55,9,2026-02-04T05:32:10.078925
97,2262,107,1,2026-02-07T19:12:10.078925
98,3561,247,3,2026-02-05T02:14:10.078925
99,2724,112,5,2026-02-03T03:31:10.078925
100,4742,47,9,2026-02-04T15:42:10.078925
101,3718,89,8,2026-02-04T13:21:10.078925
